Topic,Difficulty,Mean,Median,Variance,Minimum,Maximum,Low,Typical,High,LeftRangeWidth,RightRangeWidth
Binary Search,1,47.76,46.8,155.36,18.5,76.4,30,40,55,1.8854,2.957
Binary Search,2,38.75,38.85,175.81,14.6,71.8,60,75,100,0.9696,2.1952
Sorting,0,67.39,69.4,161.51,33.2,87.5,0,20,25,7.2255,0.9045
Sorting,1,52.97,52.95,209.46,17.3,89.5,30,35,45,3.5614,7.2954
Sorting,2,46.06,45.2,193.44,16.2,76.3,60,65,80,1.932,6.2076
Depth-First Search,0,67.68,70.65,123.22,44.9,87.1,20,25,40,1.7155,3.2834
Depth-First Search,1,60.66,61.1,138.8,27.3,88.3,40,45,65,1.6892,5.4291
Depth-First Search,2,48.63,49.0,157.01,18.9,79.8,75,90,100,3.007,2.052
Merge Sort,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Merge Sort,1,58.7,58.7,1.44,57.5,59.9,45,55,65,0.1199,0.1199
Merge Sort,2,41.41,41.5,45.31,31.3,54.6,85,90,100,1.019,2.6148
String Matching,0,53.7,54.35,219.54,25.9,78.4,20,30,35,5.6786,2.4026
String Matching,1,45.27,41.4,251.24,18.5,67.3,45,50,55,4.5709,5.1697
String Matching,2,31.99,33.45,101.11,11.6,47.1,65,75,100,0.8737,1.3636
Reservoir Sampling,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Reservoir Sampling,1,52.58,53.05,124.45,40.3,63.9,30,45,55,1.2737,0.7229
Reservoir Sampling,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Bit Manipulation,0,70.34,72.2,165.89,41.6,95.5,10,20,30,3.0569,2.3277
Bit Manipulation,1,56.76,57.9,292.43,17.8,90.7,40,45,55,4.006,6.5469
Bit Manipulation,2,44.04,45.0,230.59,13.6,82.0,65,75,90,2.0919,3.6963
Data Stream,0,74.12,76.35,83.09,59.4,84.4,25,30,40,1.6933,1.6068
Data Stream,1,58.58,54.45,109.64,48.6,77.7,45,55,60,1.1677,2.3227
Data Stream,2,51.68,52.35,91.59,37.5,64.5,75,80,100,0.7421,2.4251
Randomized,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Randomized,1,50.8,47.5,81.52,40.2,63.9,45,55,60,1.4571,1.6384
Randomized,2,34.6,34.6,0.67,33.6,35.6,75,80,95,0.0666,0.1996
Database,0,69.46,71.5,192.29,35.7,89.8,5,15,20,7.1457,1.8282
Database,1,61.89,61.25,221.57,32.3,96.1,25,35,40,5.7784,3.4815
Database,2,55.48,54.7,175.02,27.4,80.8,60,75,90,1.8188,1.7388
Number Theory,0,61.51,64.35,373.03,29.9,88.0,5,20,30,3.4416,1.5756
Number Theory,1,44.3,38.4,250.09,25.6,92.3,40,45,60,0.8528,10.7585
Number Theory,2,35.07,36.85,190.68,8.5,60.0,70,80,100,1.4168,2.3127
Bitmask,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Bitmask,1,44.52,39.3,246.01,23.7,69.3,35,50,60,1.5584,1.9987
Bitmask,2,41.92,41.6,202.69,13.6,81.9,70,80,95,1.8654,4.026
Math,0,65.57,67.0,249.96,19.3,91.0,5,10,30,2.3838,4.7904
Math,1,51.98,51.6,216.09,17.8,92.3,30,50,70,1.6892,2.034
Math,2,40.65,40.1,159.58,8.5,66.3,75,80,100,1.5792,5.2295
Rejection Sampling,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Rejection Sampling,1,43.05,43.05,8.12,40.2,45.9,35,40,50,0.2847,0.5689
Rejection Sampling,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Iterator,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Iterator,1,66.28,64.9,37.21,59.7,73.4,50,55,60,1.0379,1.6966
Iterator,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Eulerian Circuit,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Eulerian Circuit,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Eulerian Circuit,2,48.47,44.8,39.39,43.3,57.3,80,85,100,0.0999,2.495
Enumeration,0,62.33,63.5,235.33,34.4,87.8,10,20,30,2.9071,2.4276
Enumeration,1,44.43,43.9,212.51,16.2,88.2,40,50,55,5.5289,4.4256
Enumeration,2,37.5,38.35,202.01,14.5,66.5,65,75,95,1.1919,2.8122
Biconnected Component,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Biconnected Component,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Biconnected Component,2,56.8,56.8,0.0,56.8,56.8,65,75,95,0.0,0.0
